partner_type,link
strategic partnership,https://www.weforum.org/organizations/abb-ltd
strategic partnership,https://www.weforum.org/organizations/accenture
strategic partnership,https://www.weforum.org/organizations/adani-ports-and-special-economic-zone-limited-apsez
strategic partnership,https://www.weforum.org/organizations/adecco-group
strategic partnership,https://www.weforum.org/organizations/african-rainbow-minerals
strategic partnership,https://www.weforum.org/organizations/agility
strategic partnership,https://www.weforum.org/organizations/american-international-group-aig
strategic partnership,https://www.weforum.org/organizations/aker-asa
strategic partnership,https://www.weforum.org/organizations/alibaba-group-holding-limited
strategic partnership,https://www.weforum.org/organizations/alixpartners-llp
strategic partnership,https://www.weforum.org/organizations/allianz-se
strategic partnership,https://www.weforum.org/organizations/amazon-com
strategic partnership,https://www.weforum.org/organizations/saudi-aramco
strategic partnership,https://www.weforum.org/organizations/arcelormittal
strategic partnership,https://www.weforum.org/organizations/astrazeneca
strategic partnership,https://www.weforum.org/organizations/bahrain-economic-development-board
strategic partnership,https://www.weforum.org/organizations/bain-company-inc
strategic partnership,https://www.weforum.org/organizations/banco-bradesco-sa
strategic partnership,https://www.weforum.org/organizations/bank-of-america-corporation
strategic partnership,https://www.weforum.org/organizations/barclays
strategic partnership,https://www.weforum.org/organizations/bill-melinda-gates-foundation
strategic partnership,https://www.weforum.org/organizations/blackrock-inc
strategic partnership,https://www.weforum.org/organizations/the-boston-consulting-group
strategic partnership,https://www.weforum.org/organizations/bp-plc
strategic partnership,https://www.weforum.org/organizations/bridgewater-associates-lp
strategic partnership,https://www.weforum.org/organizations/capgemini
strategic partnership,https://www.weforum.org/organizations/chevron-corporation
strategic partnership,https://www.weforum.org/organizations/cisco
strategic partnership,https://www.weforum.org/organizations/citi
strategic partnership,https://www.weforum.org/organizations/cognizant-technology-solutions
strategic partnership,https://www.weforum.org/organizations/dell-inc
strategic partnership,https://www.weforum.org/organizations/deloitte
strategic partnership,https://www.weforum.org/organizations/dentsu-inc
strategic partnership,https://www.weforum.org/organizations/deutsche-bank-ag
strategic partnership,https://www.weforum.org/organizations/deutsche-post-dhl-group
strategic partnership,https://www.weforum.org/organizations/dp-world
strategic partnership,https://www.weforum.org/organizations/royal-dsm-nv
strategic partnership,https://www.weforum.org/organizations/telefonaktiebolaget-lm-ericsson
strategic partnership,https://www.weforum.org/organizations/ey
strategic partnership,https://www.weforum.org/organizations/the-goldman-sachs-group-inc
strategic partnership,https://www.weforum.org/organizations/google
strategic partnership,https://www.weforum.org/organizations/hanwha-corporation
strategic partnership,https://www.weforum.org/organizations/hcl-technologies-ltd
strategic partnership,https://www.weforum.org/organizations/hewlett-packard-enterprise
strategic partnership,https://www.weforum.org/organizations/hitachi-ltd
strategic partnership,https://www.weforum.org/organizations/honeywell
strategic partnership,https://www.weforum.org/organizations/hong-kong-exchanges-and-clearing-hkex
strategic partnership,https://www.weforum.org/organizations/hp-inc
strategic partnership,https://www.weforum.org/organizations/hsbc-holdings-plc
strategic partnership,https://www.weforum.org/organizations/huawei-technologies-co-ltd
strategic partnership,https://www.weforum.org/organizations/burda-media
strategic partnership,https://www.weforum.org/organizations/ibm-corporation
strategic partnership,https://www.weforum.org/organizations/infosys-ltd
strategic partnership,https://www.weforum.org/organizations/intel-corporation
strategic partnership,https://www.weforum.org/organizations/itau-unibanco-sa
strategic partnership,https://www.weforum.org/organizations/jll
strategic partnership,https://www.weforum.org/organizations/johnson-johnson
strategic partnership,https://www.weforum.org/organizations/jpmorgan-chase-co
strategic partnership,https://www.weforum.org/organizations/kearney-inc
strategic partnership,https://www.weforum.org/organizations/kpmg-international-cooperative
strategic partnership,https://www.weforum.org/organizations/kudelski-group
strategic partnership,https://www.weforum.org/organizations/lazard
strategic partnership,https://www.weforum.org/organizations/quinenco-sa
strategic partnership,https://www.weforum.org/organizations/mahindra-mahindra-ltd
strategic partnership,https://www.weforum.org/organizations/majid-al-futtaim-holding-llc
strategic partnership,https://www.weforum.org/organizations/manpowergroup
strategic partnership,https://www.weforum.org/organizations/marsh-mclennan-companies-mmc
strategic partnership,https://www.weforum.org/organizations/mastercard
strategic partnership,https://www.weforum.org/organizations/mckinsey-company
strategic partnership,https://www.weforum.org/organizations/facebook-inc
strategic partnership,https://www.weforum.org/organizations/microsoft-corporation
strategic partnership,https://www.weforum.org/organizations/mitsubishi-corporation
strategic partnership,https://www.weforum.org/organizations/mitsubishi-heavy-industries-ltd
strategic partnership,https://www.weforum.org/organizations/morgan-stanley
strategic partnership,https://www.weforum.org/organizations/mubadala-development-company
strategic partnership,https://www.weforum.org/organizations/nestle-sa
strategic partnership,https://www.weforum.org/organizations/novartis-ag
strategic partnership,https://www.weforum.org/organizations/novo-nordisk-foundation
strategic partnership,https://www.weforum.org/organizations/open-society-institute
strategic partnership,https://www.weforum.org/organizations/palantir-technologies
strategic partnership,https://www.weforum.org/organizations/paypal-inc
strategic partnership,https://www.weforum.org/organizations/pepsico-inc
strategic partnership,https://www.weforum.org/organizations/pfizer
strategic partnership,https://www.weforum.org/organizations/procter-gamble
strategic partnership,https://www.weforum.org/organizations/publicis-groupe-sa
strategic partnership,https://www.weforum.org/organizations/pricewaterhousecoopers-llp
strategic partnership,https://www.weforum.org/organizations/qatar-investment-authority
strategic partnership,https://www.weforum.org/organizations/qualcomm-incorporated
strategic partnership,https://www.weforum.org/organizations/reliance-industries-limited
strategic partnership,https://www.weforum.org/organizations/royal-philips
strategic partnership,https://www.weforum.org/organizations/s-p-global
strategic partnership,https://www.weforum.org/organizations/salesforce-1
strategic partnership,https://www.weforum.org/organizations/sap-se
strategic partnership,https://www.weforum.org/organizations/saudi-basic-industries-corporation-sabic
strategic partnership,https://www.weforum.org/organizations/schneider-electric-sa
strategic partnership,https://www.weforum.org/organizations/sequoia-capital-group
strategic partnership,https://www.weforum.org/organizations/siemens-ag
strategic partnership,https://www.weforum.org/organizations/sk-holdings
strategic partnership,https://www.weforum.org/organizations/socar
strategic partnership,https://www.weforum.org/organizations/sony-corporation
strategic partnership,https://www.weforum.org/organizations/standard-chartered-bank
strategic partnership,https://www.weforum.org/organizations/suntory-holdings-limited
strategic partnership,https://www.weforum.org/organizations/swiss-reinsurance-company-ltd
strategic partnership,https://www.weforum.org/organizations/takeda-pharmaceutical-company-limited
strategic partnership,https://www.weforum.org/organizations/tata-consultancy-services-ltd
strategic partnership,https://www.weforum.org/organizations/the-coca-cola-company
strategic partnership,https://www.weforum.org/organizations/uber
strategic partnership,https://www.weforum.org/organizations/ubs-switzerland-ag
strategic partnership,https://www.weforum.org/organizations/unilever
strategic partnership,https://www.weforum.org/organizations/verizon-communications
strategic partnership,https://www.weforum.org/organizations/visa-usa-inc
strategic partnership,https://www.weforum.org/organizations/volkswagen-ag
strategic partnership,https://www.weforum.org/organizations/ab-volvo
strategic partnership,https://www.weforum.org/organizations/the-wellcome-trust
strategic partnership,https://www.weforum.org/organizations/wipro-limited
strategic partnership,https://www.weforum.org/organizations/yara-international-asa
strategic partnership,https://www.weforum.org/organizations/zurich-insurance-group
strategic foundation partnership,https://www.weforum.org/organizations/bill-melinda-gates-foundation
strategic foundation partnership,https://www.weforum.org/organizations/salesforce-1
strategic partnership associate,https://www.weforum.org/organizations/barclays-africa-group-limited
strategic partnership associate,https://www.weforum.org/organizations/amtd-group
strategic partnership associate,https://www.weforum.org/organizations/banco-santander-sa
strategic partnership associate,https://www.weforum.org/organizations/bloomberg-lp
strategic partnership associate,https://www.weforum.org/organizations/c3-ai
strategic partnership associate,https://www.weforum.org/organizations/contemporary-amperex-technology-catl
strategic partnership associate,https://www.weforum.org/organizations/dubai-electricity-and-water-authority
strategic partnership associate,https://www.weforum.org/organizations/eurasian-resources-group-sarl
strategic partnership associate,https://www.weforum.org/organizations/general-atlantic-llc
strategic partnership associate,https://www.weforum.org/organizations/gic-private-limited
strategic partnership associate,https://www.weforum.org/organizations/ginkgo-bioworks
strategic partnership associate,https://www.weforum.org/organizations/glencore
strategic partnership associate,https://www.weforum.org/organizations/gulfstream-aerospace-corporation
strategic partnership associate,https://www.weforum.org/organizations/hydro
strategic partnership associate,https://www.weforum.org/organizations/hyundai-motor-company
strategic partnership associate,https://www.weforum.org/organizations/indorama-ventures-public-company-limited
strategic partnership associate,https://www.weforum.org/organizations/ing-group
strategic partnership associate,https://www.weforum.org/organizations/invesco
strategic partnership associate,https://www.weforum.org/organizations/loreal
strategic partnership associate,https://www.weforum.org/organizations/linkedin-corporation
strategic partnership associate,https://www.weforum.org/organizations/lord-abbett-co
strategic partnership associate,https://www.weforum.org/organizations/lulu-group-international
strategic partnership associate,https://www.weforum.org/organizations/china-mengniu-dairy-company
strategic partnership associate,https://www.weforum.org/organizations/merck
strategic partnership associate,https://www.weforum.org/organizations/nbcuniversal-inc
strategic partnership associate,https://www.weforum.org/organizations/occidental-petroleum-corporation
strategic partnership associate,https://www.weforum.org/organizations/rabobank-group
strategic partnership associate,https://www.weforum.org/organizations/sempra-energy
strategic partnership associate,https://www.weforum.org/organizations/royal-dutch-shell-plc
strategic partnership associate,https://www.weforum.org/organizations/the-standard-bank-group-limited
strategic partnership associate,https://www.weforum.org/organizations/swift-scrl
strategic partnership associate,https://www.weforum.org/organizations/teck-resources-limited
strategic partnership associate,https://www.weforum.org/organizations/temasek-holdings
strategic partnership associate,https://www.weforum.org/organizations/bytedance-ltd
strategic partnership associate,https://www.weforum.org/organizations/tpg-global-llc
strategic partnership associate,https://www.weforum.org/organizations/tyson-foods
strategic partnership associate,https://www.weforum.org/organizations/upl-ltd
strategic partnership associate,https://www.weforum.org/organizations/vista-equity-partners
strategic partnership associate,https://www.weforum.org/organizations/workday-inc
partnership,https://www.weforum.org/organizations/a-p-moller-maersk-a-s
partnership,https://www.weforum.org/organizations/abbott-laboratories
partnership,https://www.weforum.org/organizations/abn-amro-bank
partnership,https://www.weforum.org/organizations/ackermans-van-haaren
partnership,https://www.weforum.org/organizations/aditya-birla-group
partnership,https://www.weforum.org/organizations/adobe-systems-inc
partnership,https://www.weforum.org/organizations/africa-finance-corporation-afc
partnership,https://www.weforum.org/organizations/african-development-bank-afdb
partnership,https://www.weforum.org/organizations/airport-authority-hong-kong
partnership,https://www.weforum.org/organizations/al-futtaim-trading-group
partnership,https://www.weforum.org/organizations/american-tower-corporation
partnership,https://www.weforum.org/organizations/amerisourcebergen-corporation
partnership,https://www.weforum.org/organizations/analog-devices
partnership,https://www.weforum.org/organizations/anglo-american-plc
partnership,https://www.weforum.org/organizations/anheuser-busch-inbev-nv
partnership,https://www.weforum.org/organizations/antin-infrastructure-partners-sas
partnership,https://www.weforum.org/organizations/apollo-tyres-ltd
partnership,https://www.weforum.org/organizations/apple
partnership,https://www.weforum.org/organizations/axa
partnership,https://www.weforum.org/organizations/bajaj-group
partnership,https://www.weforum.org/organizations/ball-corporation
partnership,https://www.weforum.org/organizations/banco-btg-pactual-sa
partnership,https://www.weforum.org/organizations/bank-julius-baer-co-ltd
partnership,https://www.weforum.org/organizations/bank-rakyat-indonesia-bri
partnership,https://www.weforum.org/organizations/basf-se
partnership,https://www.weforum.org/organizations/bayer-d57cbbcd2e
partnership,https://www.weforum.org/organizations/banco-bilbao-vizcaya-argentaria-sa
partnership,https://www.weforum.org/organizations/bridas-corporation
partnership,https://www.weforum.org/organizations/bharti-airtel-limited
partnership,https://www.weforum.org/organizations/bhp-group
partnership,https://www.weforum.org/organizations/the-blackstone-group
partnership,https://www.weforum.org/organizations/bmo-financial-group
partnership,https://www.weforum.org/organizations/bank-of-new-york-bny-mellon
partnership,https://www.weforum.org/organizations/boeing-company
partnership,https://www.weforum.org/organizations/borgwarner
partnership,https://www.weforum.org/organizations/breakthrough-energy-llc
partnership,https://www.weforum.org/organizations/brightstar-capital-partners
partnership,https://www.weforum.org/organizations/bristol-myers-squibb
partnership,https://www.weforum.org/organizations/brookfield-asset-management
partnership,https://www.weforum.org/organizations/caisse-de-depot-et-placement-du-quebec
partnership,https://www.weforum.org/organizations/canica-holding
partnership,https://www.weforum.org/organizations/cantor-fitzgerald-lp
partnership,https://www.weforum.org/organizations/canyon-partners-llc
partnership,https://www.weforum.org/organizations/cargill-incorporated
partnership,https://www.weforum.org/organizations/carlsberg-a-s
partnership,https://www.weforum.org/organizations/the-carlyle-group
partnership,https://www.weforum.org/organizations/cf-industries-holdings-inc
partnership,https://www.weforum.org/organizations/check-point-software-technologies
partnership,https://www.weforum.org/organizations/chegg
partnership,https://www.weforum.org/organizations/china-guodian-corporation
partnership,https://www.weforum.org/organizations/china-huaneng-group-chng
partnership,https://www.weforum.org/organizations/china-petrochemical-corporation-sinopec-group
partnership,https://www.weforum.org/organizations/circle-internet-financial
partnership,https://www.weforum.org/organizations/citic-group
partnership,https://www.weforum.org/organizations/clariant-international-ltd
partnership,https://www.weforum.org/organizations/compagnie-financiere-tradition
partnership,https://www.weforum.org/organizations/consolidated-contractors-company-ccc
partnership,https://www.weforum.org/organizations/corficolombiana
partnership,https://www.weforum.org/organizations/charoen-pokphand-group
partnership,https://www.weforum.org/organizations/crescent-enterprises
partnership,https://www.weforum.org/organizations/crescent-petroleum
partnership,https://www.weforum.org/organizations/cvc-capital-partners-luxembourg-sarl
partnership,https://www.weforum.org/organizations/cvs-caremark-corporation
partnership,https://www.weforum.org/organizations/daiwa-securities-group
partnership,https://www.weforum.org/organizations/dallas-fort-worth-international-airport
partnership,https://www.weforum.org/organizations/dalmia-bharat-limited
partnership,https://www.weforum.org/organizations/danfoss-a-s
partnership,https://www.weforum.org/organizations/dassault-systemes
partnership,https://www.weforum.org/organizations/the-depository-trust-clearing-corporation-dtcc
partnership,https://www.weforum.org/organizations/development-bank-of-japan-dbj
partnership,https://www.weforum.org/organizations/development-bank-of-southern-africa
partnership,https://www.weforum.org/organizations/dnb-asa
partnership,https://www.weforum.org/organizations/dogan-group-of-companies
partnership,https://www.weforum.org/organizations/the-dow-chemical-company
partnership,https://www.weforum.org/organizations/dsv
partnership,https://www.weforum.org/organizations/dtek
partnership,https://www.weforum.org/organizations/dufry-ag
partnership,https://www.weforum.org/organizations/emirates-telecommunications-corporation-etisalat
partnership,https://www.weforum.org/organizations/ecolab-inc
partnership,https://www.weforum.org/organizations/ecopetrol
partnership,https://www.weforum.org/organizations/edelman
partnership,https://www.weforum.org/organizations/edp-energias-de-portugal
partnership,https://www.weforum.org/organizations/egon-zehnder
partnership,https://www.weforum.org/organizations/eletrobras
partnership,https://www.weforum.org/organizations/emirates-global-aluminium
partnership,https://www.weforum.org/organizations/enel-spa
partnership,https://www.weforum.org/organizations/engie
partnership,https://www.weforum.org/organizations/engro
partnership,https://www.weforum.org/organizations/eni-spa
partnership,https://www.weforum.org/organizations/envision-group
partnership,https://www.weforum.org/organizations/statoil-asa
partnership,https://www.weforum.org/organizations/euroclear
partnership,https://www.weforum.org/organizations/european-bank-for-reconstruction-and-development-ebrd
partnership,https://www.weforum.org/organizations/european-investment-bank-eib
partnership,https://www.weforum.org/organizations/exxaro
partnership,https://www.weforum.org/organizations/exxon-mobil-corporation
partnership,https://www.weforum.org/organizations/first-abu-dhabi-bank
partnership,https://www.weforum.org/organizations/fortescue-metals-group
partnership,https://www.weforum.org/organizations/pacific-rubiales-energy
partnership,https://www.weforum.org/organizations/fti-consulting-inc
partnership,https://www.weforum.org/organizations/fujitsu-limited
partnership,https://www.weforum.org/organizations/gmr-group
partnership,https://www.weforum.org/organizations/greenko
partnership,https://www.weforum.org/organizations/tv-azteca-sab-de-cv
partnership,https://www.weforum.org/organizations/gulf-international-bank-bsc-gib
partnership,https://www.weforum.org/organizations/gunvor-sa
partnership,https://www.weforum.org/organizations/haier-group
